road,id,model_type,condition,name,lat,lon,length
N1,1000303,bridge,A,,22.6912517148148,91.6201690574074,4.2
N1,1000304,link,R,,22.6904163,91.62052709999999,98.00000000001319
N1,1000305,bridge,A,,22.6868697647058,91.6220385823529,3.2
N1,1000306,link,R,,22.685083,91.6228327,317.0000000000073
N1,1000307,bridge,A,,22.6769772991044,91.6268169453731,6.0
N1,1000308,link,R,,22.6769438,91.62683270000001,581.0000000000173
N1,1000309,bridge,A,,22.6699594391304,91.6293531695652,3.0
N1,1000310,link,R,,22.6678604,91.6301104,0.0
N1,1000311,bridge,A,,22.6657838981081,91.6311293581081,3.0
N1,1000312,link,R,,22.6649167,91.63155490000001,137.9999999999768
N1,1000313,bridge,A,,22.6615956814814,91.6335257425926,3.0
N1,1000314,link,R,,22.6596667,91.6347219,322.00000000003115
N1,1000315,bridge,A,,22.6547124294117,91.6379261764705,3.1
N1,1000316,link,R,,22.6543889,91.63813859999999,208.99999999997476
N1,1000317,bridge,A,,22.6510709547445,91.6400341194647,4.6
N1,1000318,link,R,,22.6494997,91.640833,67.00000000000728
N1,1000319,bridge,A,,22.6474561112311,91.6419171170626,12.4
N1,1000320,link,R,,22.645277399999998,91.6430552,469.99999999999886
N1,1000321,bridge,A,,22.636096590965,91.648209240657,3.0
N1,1000322,link,R,,22.6338608,91.64947190000001,222.0000000000084
N1,1000323,bridge,A,,22.6281666352941,91.6527578258312,3.0
N1,1000324,link,R,,22.625916,91.6541389,0.0
N1,1000325,bridge,B,,22.6258323373493,91.6541857554217,6.1
N1,1000326,link,R,,22.625221600000003,91.6545278,219.0000000000225
N1,1000327,bridge,A,,22.6230461711711,91.6554672531531,3.0
N1,1000328,link,R,,22.620693799999998,91.6563611,182.99999999999272
N1,1000329,bridge,A,,22.6177563490118,91.6580589438735,3.0
N1,1000330,link,R,,22.6175271,91.65825,106.99999999999932
N1,1000331,bridge,A,,22.6149899686274,91.6602670503268,4.6
N1,1000332,link,R,,22.6123889,91.6622222,0.0
N1,1000333,bridge,A,,22.6117556741935,91.6625686731182,3.0
N1,1000334,link,R,,22.609444399999997,91.6638333,72.00000000000273
N1,1000335,bridge,A,,22.6038394411764,91.6673745588235,2.95
N1,1000336,link,R,,22.6015833,91.66883270000001,294.00000000001114
N1,1000337,bridge,B,,22.5971665766519,91.671819207489,9.3
N1,1000338,link,R,,22.594221899999997,91.6737771,24.999999999977263
N1,1000339,bridge,A,,22.5938881803921,91.6738889367647,4.5
N1,1000340,link,R,,22.5907497,91.6754716,0.0
N1,1000341,bridge,C,,22.5870350167767,91.6770444686922,22.25
N1,1000342,link,R,,22.584583,91.6780827,143.0000000000291
N1,1000343,bridge,A,,22.5815086746355,91.6795390413994,2.5
N1,1000344,link,R,,22.580666,91.67994379999999,330.99999999998886
N1,1000345,bridge,A,,22.5767930229508,91.68162274153,10.2
N1,1000346,link,R,,22.5763604,91.68180490000002,394.9999999999818
N1,1000347,bridge,A,,22.5702905930578,91.6840096656198,3.0
N1,1000348,link,R,,22.5679716,91.6846941,178.0000000000257
N1,1000349,bridge,A,,22.5664212916363,91.6851826636363,4.5
N1,1000350,link,R,,22.5641389,91.68591629999999,546.9999999999686
N1,1000351,bridge,A,,22.5585210862619,91.687506242492,4.1
N1,1000352,link,R,,22.551416699999997,91.6896941,175.00000000001137
N1,1000353,bridge,A,,22.5467727210909,91.6926260603636,3.0
N1,1000354,link,R,,22.543888600000002,91.69452740000001,119.0000000000282
N1,1000355,bridge,A,,22.5390300234693,91.6965452744898,8.2
N1,1000356,link,R,,22.5354997,91.6979441,90.00000000000341
N1,1000357,bridge,A,,22.5303678038461,91.7004641228571,3.0
N1,1000358,link,R,,22.5273049,91.7019444,0.0
N1,1000359,bridge,B,,22.5229359167189,91.7038366163009,16.3
N1,1000360,link,R,,22.519416,91.70536109999999,821.0000000000264
N1,1000361,bridge,C,,22.5113471164122,91.7087907889313,27.0
N1,1000362,link,R,,22.510611100000002,91.7090833,413.00000000003934
