road,id,model_type,name,lat,lon,length,condition
N1,100139,link,LRP110,23.3246382,91.278666,83.00000000001262,R
N1,100140,bridge,LRP109a,23.3180696869138,91.2830867321701,9.2,A
N1,100141,link,LRP111,23.3171382,91.2836941,1000.0,R
N1,100142,bridge,LRP110a,23.3083612731261,91.2865787034735,19.2,B
N1,100143,link,LRP112a,23.30425,91.288583,0.0,R
N1,100144,bridge,LRP110c,23.3034306450331,91.2889770397351,2.6,B
N1,100145,link,LRP113,23.3006111,91.29033299999999,0.0,R
N1,100146,bridge,LRP111a,23.2979675271676,91.2910141369942,3.2,A
N1,100147,link,LRP113a,23.296083,91.2914997,480.99999999998033,R
N1,100148,bridge,LRP112a,23.2897066386454,91.2929584711155,13.4,A
N1,100149,link,LRP114a,23.2876663,91.2936386,497.99999999999045,R
N1,100150,bridge,LRP113a,23.2821949258397,91.2966655096899,4.6,B
N1,100151,link,LRP115a,23.2787216,91.30027779999999,225.99999999998488,R
N1,100152,bridge,LRP114a,23.27301895,91.3029661882,6.3,B
N1,100153,link,LRP117,23.268638199999998,91.30497220000001,596.0000000000036,R
N1,100154,bridge,LRP116a,23.2618360940594,91.3070217386138,3.0,B
N1,100155,link,LRP118,23.2601111,91.3072778,0.0,R
N1,100156,bridge,LRP116b,23.25941665,91.3073611,3.0,B
N1,100157,link,LRP118a,23.258722199999998,91.30744440000001,0.0,R
N1,100158,bridge,LRP116c,23.2576429774881,91.3076156494075,3.6,B
N1,100159,link,LRP119,23.2511944,91.3086389,730.000000000004,R
N1,100160,bridge,LRP118a,23.2443915125925,91.3114032292592,2.5,B
N1,100161,link,LRP120,23.243083,91.3119167,0.0,R
N1,100162,bridge,LRP118b,23.2429040619631,91.3119739539877,19.2,B
N1,100163,link,LRP120a,23.241694100000004,91.31236109999999,0.0,R
N1,100164,bridge,LRP118d,23.2397920309669,91.3125740860465,2.6,A
N1,100165,link,LRP120b,23.2344997,91.3131667,334.99999999999375,R
N1,100166,bridge,LRP119b,23.2289195919642,91.3134220678571,3.1,B
N1,100167,link,LRP121b,23.2275549,91.31352779999999,0.0,R
N1,100168,bridge,LRP120a,23.2259184472573,91.3135697177215,2.6,B
N1,100169,link,LRP122,23.225388199999998,91.3135833,0.0,R
N1,100170,bridge,LRP120b,23.2220338977777,91.3137005933333,6.0,A
N1,100171,link,LRP122a,23.221416,91.3137222,549.9999999999972,R
N1,100172,bridge,LRP121b,23.2131955721448,91.3153497403899,14.3,B
N1,100173,link,LRP123a,23.2103056,91.31572220000001,281.99999999998226,R
N1,100174,bridge,LRP122a,23.2050386287937,91.3163167282749,6.1,A
N1,100175,link,LRP124a,23.201,91.31680490000001,228.9999999999992,R
N1,100176,bridge,LRP123a,23.1961887953757,91.3176705069364,6.1,A
N1,100177,link,LRP125a,23.192110800000002,91.31855490000001,134.9999999999909,R
N1,100178,bridge,LRP124a,23.1874350254302,91.3209051317399,6.1,C
N1,100179,link,LRP126a,23.1866941,91.3212493,476.99999999998965,R
N1,100180,bridge,LRP125a,23.1817958149837,91.3208787514658,9.5,B
N1,100181,link,LRP127a,23.177360399999998,91.31980490000001,515.0000000000006,R
N1,100182,bridge,LRP126a,23.1726272318681,91.3205774642857,3.1,B
N1,100183,link,LRP128a,23.168138199999998,91.3213604,454.00000000002194,R
N1,100184,bridge,LRP127a,23.1635138669191,91.3215889464646,9.5,A
N1,100185,link,LRP129a,23.157166699999998,91.3224993,208.00000000001262,R
N1,100186,bridge,LRP128a,23.1527364949367,91.3243178772152,6.3,B
N1,100187,link,LRP130a,23.1496941,91.3254993,368.0000000000234,R
N1,100188,bridge,LRP129a,23.1436667679334,91.3266680470308,3.5,B
N1,100189,link,LRP131a,23.1433886,91.326666,0.0,R
N1,100190,bridge,LRP130a,23.1389893200345,91.3263585348877,6.1,B
N1,100191,link,LRP132,23.138221899999998,91.32630490000001,101.99999999997544,R
N1,100192,bridge,LRP131a,23.1332639685968,91.327546416481,3.0,B
N1,100193,link,LRP133,23.1295827,91.3284993,69.99999999999318,R
N1,100194,bridge,LRP131b,23.1252363577777,91.3303863688888,6.5,A
N1,100195,link,LRP133b,23.123499300000002,91.3311382,254.99999999999545,R
N1,100196,bridge,LRP132a,23.1196973774193,91.3328165129032,4.5,B
N1,100197,link,LRP134a,23.1193049,91.3329993,27.999999999991587,R
N1,100198,bridge,LRP133a,23.1158251554,91.335094485,5.3,B
N1,100199,link,LRP136,23.1113611,91.3378052,74.99999999998863,R
N1,100200,bridge,LRP134a,23.1074284451388,91.3400495436111,6.1,A
N1,100201,link,LRP136b,23.105111100000002,91.3413608,205.0000000000125,R
N1,100202,bridge,LRP135a,23.1017563206521,91.343162998913,3.1,B
N1,100203,link,LRP137a,23.1005833,91.34377740000001,0.0,R
N1,100204,bridge,LRP135b,23.0973512527272,91.3454956309091,9.5,B
N1,100205,link,LRP137b,23.0961941,91.3461108,81.99999999999363,R
N1,100206,bridge,LRP136a,23.0930298369186,91.3478308386627,3.1,A
N1,100207,link,LRP138a,23.0901108,91.34941629999999,311.9999999999834,R
N1,100208,bridge,LRP136c,23.0870753710144,91.3512101492753,9.25,B
N1,100209,link,LRP139a,23.0849719,91.35247220000001,0.0,R
N1,100210,bridge,LRP137a,23.0819909531309,91.3541811474383,3.5,A
N1,100211,link,LRP139b,23.0808049,91.3548611,210.00000000000796,R
N1,100212,bridge,LRP137b,23.0779647046997,91.3566005031331,14.2,B
N1,100213,link,LRP140a,23.0732493,91.3594167,234.00000000000887,R
N1,100214,bridge,LRP138a,23.070198184,91.3603022,6.1,B
N1,100215,link,LRP141a,23.0688604,91.36072220000001,859.0000000000089,R
N1,100216,bridge,LRP140a,23.0607473333333,91.3618624619047,4.0,B
N1,100217,link,LRP143,23.0538611,91.36372220000001,1552.9999999999973,R
N1,100218,bridge,LRP142a,23.0379728055555,91.3656784724359,10.8,A
N1,100219,link,LRP145,23.0360274,91.36575,734.9999999999852,R
N1,100220,bridge,LRP143a,23.0269801170731,91.3655004839721,1.6,A
N1,100221,link,LRP146,23.026971600000003,91.3655,2001.0000000000048,R
