,road,km,LRPName,condition,lat,lon
15512,N1,397.679,LRP394c,B,21.3175555555555,92.0929444444444
15513,N1,399.452,LRP395a,B,21.3039444444444,92.09675
15514,N1,401.89,LRP398b,B,21.2828333333333,92.1006944444444
15515,N1,408.235,LRP404b,B,21.2421388888888,92.1415
15516,N1,412.931,LRP409a,B,21.2166111111111,92.16275
15518,N1,419.036,LRP415b,B,21.1720555555555,92.1552777777777
15520,N1,420.093,LRP416d,B,21.1627222222222,92.1521388888889
15521,N1,420.406,LRP416f,B,21.1603055555555,92.1525
15522,N1,423.442,LRP419c,B,21.1381388888888,92.1648888888889
15523,N1,425.267,LRP421d,B,21.1501666666666,92.18075
15524,N1,426.555,LRP422c,B,21.1267777777777,92.1902777777777
15525,N1,426.915,LRP423b,B,21.1241944444444,92.1918888888889
15526,N1,427.231,LRP423e,B,21.1214166666666,92.1935555555555
15527,N1,428.095,LRP424g,B,21.1214993,92.1935552
15528,N1,429.081,LRP425c,B,21.1089444444444,92.2045555555555
15530,N1,435.013,LRP431c,B,21.0621111111111,92.2265
15531,N1,436.388,LRP432b,B,21.05125,92.2301388888888
15532,N1,436.789,LRP433b,B,21.0508888888888,92.2333333333333
15533,N1,437.063,LRP433c,B,21.0480277777777,92.2346944444444
15534,N1,440.028,LRP436a,B,21.0229444444444,92.2420555555555
15535,N1,443.024,LRP439a,B,20.9990833333333,92.2538888888889
15536,N1,443.564,LRP439c,B,20.9943333333333,92.2546111111111
15537,N1,447.401,LRP443d,B,20.9623888888888,92.2529166666666
15538,N1,448.054,LRP444b,B,20.9568611111111,92.2548055555555
15540,N1,449.101,LRP445b,B,20.9484166666666,92.2588611111111
15541,N1,451.984,LRP448a,B,20.9238888888888,92.2600277777777
15545,N1,453.95,LRP450a,B,20.9088888888888,92.2751111111111
15546,N1,454.673,LRP451a,B,20.9031388888888,92.2788611111111
15552,N1,458.799,LRP455a,B,20.8766111111111,92.2979444444444
15554,N2,11.482,LRP012c,B,23.7854166666666,90.5690277777777
15560,N2,31.026,LRP031e,B,23.8943055555555,90.6718888888888
15564,N2,42.153,LRP042d,B,23.9753333333333,90.7291388888889
15567,N2,57.111,LRP057c,B,24.0425833333333,90.8536666666666
15570,N2,67.87,LRP068b,B,24.0570277777777,90.9559444444444
15571,N2,69.279,LRP069d,B,25.0568055555555,90.9695833333333
15572,N2,73.94,LRP073f,B,24.03775,91.0068333333333
15574,N2,90.552,LRP091a,B,24.05325,91.1591666666666
15576,N2,102.843,LRP103a,B,24.0717222222222,91.2593611111111
15582,N2,129.985,LRP130d,B,24.2656388888888,91.3821666666666
15584,N2,153.116,LRP154a,B,24.3535,91.5379441
15588,N2,164.088,LRP165a,B,24.4449997,91.5705549
15590,N2,164.956,LRP165e,B,24.4526111111111,91.5721388888888
15594,N2,171.763,LRP172e,B,24.5117777777777,91.5854166666666
15595,N2,172.941,LRP173c,B,24.5184747068085,91.5884815834042
15597,N2,184.404,LRP185b,B,24.6070277777777,91.6216388888888
15602,N2,221.457,LRP222a,B,24.8483333333333,91.8255833333333
15604,N2,226.077,LRP227a,B,24.8687777777777,91.8634999999999
15605,N2,226.827,LRP227d,B,24.8740833333333,91.8677777777777
15606,N2,228.214,LRP229c,B,24.8800833333333,91.87825
15608,N2,232.717,LRP233b,B,24.8964722222222,91.9040277777777
15621,N2,273.394,LRP274e,B,25.1544722222222,92.1053055555555
15850,N102,31.27,LRP031b,B,23.6776388888888,91.0076388888888
15861,N102,55.063,LRP055a,B,23.8297777777777,91.1551388888889
15867,N102,69.643,LRP069a,B,23.9496111111111,91.1167
15871,N102,78.132,LRP078b,B,24.01325,91.1097222222222
15872,N102,79.737,LRP080a,B,24.0275277777777,91.1125
15908,N108,1.531,LRP001c,B,22.1065,92.0880833333333
16111,N207,25.485,LRP025d,B,24.3190277777777,91.7353888888888
16112,N207,25.704,LRP025e,B,24.3210833333333,91.7359166666666
16113,N207,26.577,LRP026c,B,24.3286944444444,91.7378333333333
16449,N1,269.199,LRP264c,C,22.2600555555555,92.0076666666666
16454,N1,331.259,LRP328a,C,21.7712222222222,92.0817777777777
16458,N1,345.592,LRP342a,C,21.6496944444444,92.0733611111111
16460,N1,353.162,LRP349b,C,21.5887222222222,92.0634166666666
16463,N1,381.985,LRP378a,C,21.4226388888888,92.0275833333333
16464,N1,382.055,LRP378b,C,21.4221944444444,92.0279444444444
16465,N1,382.649,LRP379a,C,21.4192777777777,92.0323611111111
16466,N1,383.269,LRP379c,C,21.4156666666666,92.03675
16467,N1,387.23,LRP383c,C,21.3985277777777,92.0666388888888
16468,N1,387.398,LRP383d,C,21.3977777777777,92.0669444444444
16469,N1,388.328,LRP384b,C,21.389,92.0686944444444
16470,N1,388.565,LRP385a,C,21.3874444444444,92.0697222222222
16471,N1,388.886,LRP385c,C,21.3851944444444,92.0704166666666
16472,N1,388.956,LRP385d,C,21.3845555555555,92.0705833333333
16473,N1,389.899,LRP386d,C,21.3766111111111,92.0718055555555
16474,N1,390.356,LRP386g,C,21.3743333333333,92.0753888888888
16475,N1,390.814,LRP387c,C,21.3715277777777,92.0784166666666
16476,N1,391.031,LRP387d,C,21.3697222222222,92.0796666666666
16477,N1,391.997,LRP388c,C,21.3615833333333,92.0806666666666
16478,N1,392.742,LRP389c,C,21.3553611111111,92.0791944444444
16480,N1,394.307,LRP390c,C,21.3416944444444,92.079
16481,N1,395.64,LRP392a,C,21.3298333333333,92.0788333333333
16482,N1,396.596,LRP393a,C,21.3241111111111,92.0853611111111
16483,N1,397.144,LRP393c,C,21.3206111111111,92.0900833333333
16484,N1,398.406,LRP394e,C,21.3125277777777,92.0962777777777
16485,N1,400.027,LRP396a,C,21.2989166666666,92.0976666666666
16486,N1,404.393,LRP400e,C,21.2646666666666,92.1134999999999
16487,N1,404.487,LRP401a,C,21.2645,92.1143055555555
16488,N1,404.774,LRP401c,C,21.2623333333333,92.1161666666666
16489,N1,405.728,LRP402a,C,21.2563888888888,92.1229444444444
16490,N1,406.791,LRP403b,C,21.2506388888888,92.1308333333333
16491,N1,407.239,LRP403d,C,21.2480555555555,92.1341944444444
16492,N1,407.785,LRP404a,C,21.2451944444444,92.1383333333333
16493,N1,412.008,LRP408b,C,21.2241666666666,92.1612777777777
16494,N1,413.235,LRP409b,C,21.2147222222222,92.1645277777777
16495,N1,413.43,LRP409d,C,21.2143333333333,92.1664444444444
16497,N1,418.76,LRP415a,C,21.1741388888888,92.1555555555555
16498,N1,419.278,LRP415c,C,21.16975,92.1545833333333
16501,N1,420.537,LRP417a,C,21.1593055555555,92.1525833333333
16502,N1,420.952,LRP417c,C,21.1555833333333,92.1526666666666
16503,N1,421.358,LRP417e,C,21.1521666666666,92.1535
16504,N1,422.081,LRP418a,C,21.1473333333333,92.1574444444444
16505,N1,422.447,LRP418b,C,21.1441944444444,92.1586944444444
16508,N1,423.67,LRP420a,C,21.1378055555555,92.1670833333333
16510,N1,424.395,LRP420f,C,21.1369444444444,92.1737222222222
16511,N1,424.783,LRP421c,C,21.1354444444444,92.1770833333333
16513,N1,425.715,LRP422a,C,21.1321388888888,92.1845555555555
16514,N1,426.881,LRP423a,C,21.1242222222222,92.1918611111111
16515,N1,427.918,LRP424c,C,21.1166944444444,92.1968611111111
16518,N1,430.582,LRP427a,C,21.0972777777777,92.2106111111111
16520,N1,434.37,LRP430d,C,21.0669166666666,92.2246666666666
16521,N1,435.22,LRP431d,C,21.0592777777777,92.2264722222222
16524,N1,436.6,LRP433a,C,21.0514444444444,92.2325
16526,N1,437.484,LRP433d,C,21.0445833333333,92.2358055555555
16527,N1,437.961,LRP434a,C,21.0404166666666,92.2373333333333
16528,N1,438.506,LRP434b,C,21.0358888888888,92.2398055555555
16529,N1,439.007,LRP435a,C,21.0320277777777,92.2412777777777
16530,N1,439.235,LRP435b,C,21.0300833333333,92.2411111111111
16533,N1,444.315,LRP440a,C,20.9876944444444,92.2545
16535,N1,445.478,LRP441a,C,20.9775277777777,92.2506666666666
16537,N1,446.435,LRP442a,C,20.9696111111111,92.2486388888888
16542,N1,451.328,LRP447c,C,20.9296111111111,92.264
16544,N1,453.05,LRP449d,C,20.9155555555555,92.2706666666666
16553,N1,459.866,LRP456b,C,20.9672777777777,92.2983888888888
16554,N1,460.113,LRP456c,C,20.8645,92.2983611111111
16561,N2,31.279,LRP031f,C,23.8951111111111,90.67425
16567,N2,69.766,LRP070b,C,24.0563055555555,90.9745555555555
16568,N2,74.915,LRP074b,C,24.0362777777777,91.0158888888889
16570,N2,75.778,LRP075b,C,24.0364441,91.0158611
16573,N2,89.64,LRP090a,C,24.0542222222222,91.1504444444444
16576,N2,92.673,LRP093a,C,24.0462222222222,91.17725
16580,N2,96.192,LRP096c,C,24.0410555555555,91.2078611111111
16587,N2,116.61,LRP117d,C,24.1522777777777,91.3486388888888
16590,N2,144.413,LRP145c,C,24.2873055555555,91.5003611111111
16591,N2,159.851,LRP160d,C,24.4076944444444,91.565
16592,N2,165.246,LRP166b,C,24.4551388888888,91.5724444444444
16595,N2,191.19,LRP192a,C,24.6294166666666,91.6791944444444
16839,N102,11.966,LRP011b,C,23.5668888888888,91.0549999999999
16853,N102,59.655,LRP059b,C,23.8663333,91.1479997
16869,N104,44.384,LRP044b,C,22.8675,91.0969166666666
16924,N110,4.834,LRP004c,C,21.4183055555555,91.9828888888889
17177,N204,1.49,LRP001d,C,24.1397777777777,91.3513333333333
17185,N207,2.997,LRP002d,C,24.2935,91.5380555555555
17188,N207,30.81,LRP030d,C,24.3649722222222,91.7496944444444
17190,N207,37.234,LRP037b,C,24.4219444444444,91.7582777777777
17193,N207,61.245,LRP061c,C,24.5762493,91.6926941
20319,N1,386.07,LRP382c,D,21.4059722222222,92.0594444444444
20320,N1,397.591,LRP394a,D,21.318,92.0921111111111
20321,N1,400.46,LRP396b,D,21.2955,92.0994722222222
20322,N1,417.29,LRP413b,D,21.242333,92.1413608
20325,N1,424.577,LRP421a,D,21.1965552,92.1708604
20331,N1,453.372,LRP449f,D,20.9133611111111,92.2720833333333
