,road,km,LRPName,condition,lat,lon
161,N1,231.966,LRP234a,A,22.3694722222222,91.7772777777777
162,N1,242.898,LRP238a,A,22.3522674714754,91.852622049836
163,N1,244.975,LRP240c,A,22.3374166666666,91.8542222222222
164,N1,246.02,LRP241a,A,22.3266451369152,91.852759390139
165,N1,247.637,LRP242b,A,22.3129265129032,91.856181916129
166,N1,249.04,LRP244a,A,22.3042222222222,91.8621111111111
167,N1,249.674,LRP244c,A,22.2997777777777,91.8655833333333
168,N1,250.215,LRP245a,A,22.2950555555555,91.8673055555555
169,N1,250.519,LRP245b,A,22.2925555555555,91.8686388888888
170,N1,250.841,LRP246a,A,22.29175,91.8711944444444
171,N1,251.281,LRP246b,A,22.2937777777777,91.8748055555555
172,N1,251.538,LRP247a,A,22.3427219,91.8531389
173,N1,254.333,LRP250a,A,22.3031111111111,91.9026666666666
174,N1,255.505,LRP251a,A,22.3070833333333,91.9126111111111
175,N1,256.378,LRP252a,A,22.3126111111111,91.9188333333333
176,N1,256.89,LRP252c,A,22.3159722222222,91.9225555555555
177,N1,257.94,LRP253a,A,22.3136388888888,91.9321944444444
178,N1,259.795,LRP255a,A,22.3099166666666,91.94775
179,N1,264.369,LRP260a,A,22.2920833333333,91.9490555555555
180,N1,267.818,LRP263b,A,22.2725277777777,92.0056944444444
181,N1,269.721,LRP265a,A,22.2558055555555,92.0094166666666
182,N1,269.99,LRP265b,A,22.2536111111111,92.0115277777777
183,N1,270.642,LRP267a,A,22.2494722222222,92.0152222222222
184,N1,271.89,LRP268a,A,22.2410555555555,92.0215555555555
185,N1,272.356,LRP268b,A,22.23725,92.0230277777777
186,N1,273.878,LRP270a,A,22.2240833333333,92.0271666666666
187,N1,274.66,LRP271a,A,22.2171388888888,92.0282222222222
188,N1,284.134,LRP280a,A,22.1509444444444,92.0695277777777
189,N1,285.58,LRP282a,A,22.1379722222222,92.0697222222222
190,N1,286.08,LRP282c,A,22.1334722222222,92.0700277777777
191,N1,286.378,LRP282e,A,22.1299160285714,92.0706024714285
193,N1,286.631,LRP283a,A,22.1750827,92.0528611
195,N1,287.144,LRP283c,A,22.1238611111111,92.0717222222222
196,N1,287.487,LRP283d,A,22.1206388888888,92.072
197,N1,288.329,LRP284a,A,22.1131944444444,92.0727222222222
198,N1,289.889,LRP286b,A,22.0996388888888,92.0744444444444
199,N1,290.719,LRP287a,A,22.0939166666666,92.0795833333333
200,N1,292.426,LRP288a,A,22.0845,92.0925555555555
201,N1,293.134,LRP289a,A,22.0811388888888,92.0985277777777
202,N1,294.534,LRP291a,A,22.07,92.1039166666666
203,N1,294.77,LRP291c,A,22.0685277777777,92.1056388888888
204,N1,295.295,LRP291d,A,22.0637567157894,92.1071061094736
206,N1,295.625,LRP292a,A,22.06125,92.1077777777777
207,N1,296.135,LRP292b,A,22.0569722222222,92.1092222222222
208,N1,296.647,LRP293a,A,22.05225,92.1092777777777
209,N1,297.034,LRP293c,A,22.0486944444444,92.1083611111111
210,N1,297.569,LRP294a,A,22.0442222222222,92.1074444444444
211,N1,298.405,LRP294c,A,22.0443888888888,92.1073333333333
213,N1,299.057,LRP295a,A,22.0317222222222,92.1040277777777
214,N1,299.434,LRP295b,A,22.0287013636363,92.1034293272727
216,N1,299.756,LRP296a,A,22.0263055555555,92.1026111111111
217,N1,300.406,LRP296b,A,22.0204166666666,92.1015277777777
218,N1,302.237,LRP298a,A,22.0076111111111,92.0926666666666
219,N1,302.729,LRP299a,A,22.00375,92.09025
220,N1,303.237,LRP299c,A,21.9998888888888,92.0881666666666
221,N1,303.782,LRP300a,A,21.9950833333333,92.0873611111111
222,N1,303.793,LRP300b,A,21.995,92.0873888888888
223,N1,304.217,LRP300d,A,21.9922334387096,92.0863582073732
225,N1,304.449,LRP301a,A,21.9889722222222,92.0853333333333
226,N1,304.857,LRP301b,A,21.9861944444444,92.0836666666666
227,N1,305.527,LRP302a,A,21.9812222222222,92.0802499999999
228,N1,305.794,LRP302c,A,21.9798888888888,92.0779444444444
229,N1,306.139,LRP302e,A,21.9789166666666,92.0747777777777
230,N1,307.229,LRP303a,A,21.9732499999999,92.0673333333333
231,N1,307.981,LRP304b,A,21.9673611111111,92.0634722222222
232,N1,308.652,LRP305a,A,22.0205549,92.1015
234,N1,309.038,LRP305c,A,21.9591666666666,92.0653055555555
235,N1,309.355,LRP306a,A,21.9515277777777,92.0673888888888
236,N1,309.971,LRP306b,A,21.9515277777777,92.0679722222222
237,N1,310.723,LRP307a,A,21.9451388888888,92.0670833333333
238,N1,311.886,LRP308a,A,21.9354444444444,92.0624166666666
