,length,condition,lat,lon,intersection,model_type,id,road,name,chainage,economic_importance,road_segment
103,520.0,N,23.54103822,90.67664350000001,0,link,10103,N1,,37.57646000000001,19930480.0,N1-11
104,5.1,C,23.53939102,90.67845779,,bridge,10104,N1,,37.58156000000001,19930480.0,N1-11
105,1070.0,N,23.5360831,90.68216395,0,link,10105,N1,,38.65156000000001,18981280.0,N1-12
106,9.5,A,23.53277519,90.68587011,,bridge,10106,N1,,38.66106000000001,18981280.0,N1-12
107,227.0,N,23.53208743,90.68665952,0,link,10107,N1,,38.88806000000001,18981280.0,N1-12
108,25.45,A,23.53139966,90.68744893,,bridge,10108,N1,,38.91351000000001,18981280.0,N1-12
109,0.0,N,23.53139966,90.68744893,0,link,10109,N1,,38.91351000000001,18981280.0,N1-12
110,25.45,A,23.53139966,90.68744893,,bridge,10110,N1,,38.93896000000001,18981280.0,N1-12
111,299.0,N,23.53077581,90.68862205,0,link,10111,N1,,39.23796000000001,18981280.0,N1-12
112,8.4,A,23.53015196,90.68979518,,bridge,10112,N1,,39.24636000000001,18981280.0,N1-12
113,1303.0,N,23.53026822,90.69611773,0,link,10113,N1,,40.54936000000001,18981280.0,N1-12
114,1408.8,A,23.53038447,90.70244027,,bridge,10114,N1,,41.95816000000001,18981280.0,N1-12
115,2294.0,N,23.53140154,90.7133605,0,link,10115,N1,,44.25216,18981280.0,N1-12
116,23.1,C,23.532418600000003,90.72428072,,bridge,10116,N1,,44.27526,18981280.0,N1-12
117,556.0,N,23.53208869,90.72672937,0,link,10117,N1,,44.83126,18981280.0,N1-12
118,6.0,B,23.53175878,90.72917801,,bridge,10118,N1,,44.83726,18981280.0,N1-12
119,3076.0,N,23.53078192,90.74371563,0,link,10119,N1,,47.91326,18981280.0,N1-14
120,16.5,C,23.52980506,90.75825325,,bridge,10120,N1,,47.92976,18981280.0,N1-14
121,2228.0,N,23.53028529,90.76916649,0,link,10121,N1,,50.15776,18981280.0,N1-14
122,3.9,C,23.53076553,90.78007973,,bridge,10122,N1,,50.161660000000005,18981280.0,N1-14
123,1707.0,N,23.53081693,90.78594362,0,link,10123,N1,,51.868660000000006,18981280.0,N1-14
124,6.5,C,23.53086834,90.79180752,,bridge,10124,N1,,51.87516000000001,18981280.0,N1-14
125,1513.0,N,23.53134591,90.80141152,0,link,10125,N1,,53.388160000000006,18981280.0,N1-14
126,15.9,A,23.53182348,90.81101551,,bridge,10126,N1,,53.40406000000001,18981280.0,N1-14
127,2174.0,N,23.532398899999997,90.82099649,0,link,10127,N1,,55.57806000000001,18981280.0,N1-15
128,12.2,A,23.53297433,90.83097748,,bridge,10128,N1,,55.59026000000001,18981280.0,N1-15
129,1755.0,N,23.527945499999998,90.83759804,0,link,10129,N1,,57.34526000000001,18981280.0,N1-15
130,4.5,C,23.52291667,90.84421861,,bridge,10130,N1,,57.34976000000001,18981280.0,N1-15
131,3693.0,N,23.51650221,90.85996951,0,link,10131,N1,,61.04276000000001,18981280.0,N1-15
132,28.9,C,23.51008776,90.8757204,,bridge,10132,N1,,61.07166000000001,18981280.0,N1-15
133,2832.0,N,23.5080451,90.88894747,0,link,10133,N1,,63.90366000000001,18981280.0,N1-16
134,5.9,B,23.50600243,90.90217454,,bridge,10134,N1,,63.909560000000006,18981280.0,N1-16
135,1992.0,N,23.50580779,90.91182028,0,link,10135,N1,,65.90156,18981280.0,N1-16
